id,stackoverflowid,githubid,twitterid,ghdup,twdup
73,372,390216,7445692,f,f
74,375,799892,1335401,f,f
75,395,12610,5743852,f,f
76,407,29727,284293,f,f
77,417,137527,2113871,f,f
78,425,80583,62248641,f,f
79,426,209621,3970341,f,f
80,430,978659,16547046,f,f
81,432,106511,16263420,f,f
82,437,51504,14243294,f,f
83,439,766330,44369630,f,f
84,448,235748,14515829,f,f
85,452,175788,18728681,f,f
86,454,698242,14714889,f,f
87,457,50053,5754242,f,f
88,472,121724,155830498,f,f
89,473,1209,4903931,f,f
90,476,137217,14403510,f,f
91,484,20725,10273252,f,f
92,488,743598,12116192,f,f
93,499,9909,638853,f,f
94,500,6245,15020118,f,f
95,507,104650,13672562,f,f
96,519,766124,165863,f,f
97,528,15794,7062382,f,f
98,536,312936,14425976,f,f
99,537,12762,6967822,f,f
100,539,147981,14163251,f,f
101,551,673691,3651621,f,f
102,553,22245,35673,f,f
103,568,316090,15070445,f,f
104,571,111022,8312312,f,f
105,573,114588,87899553,f,f
106,582,714,336343,f,f
107,586,87923,14221308,f,f
108,598,19977,768197,f,f
109,607,18567,2160181,f,f
110,612,91261,19043353,f,f
111,615,1276525,10671072,f,f
112,619,28955,14341577,f,f
113,620,111244,3335141,f,f
114,621,737277,6484132,f,f
115,622,524292,15203079,f,f
116,629,4451,15239784,f,f
117,633,1562485,14058027,f,f
118,636,86533,11437862,f,f
119,649,1186347,14390087,f,f
120,657,85320,7568942,f,f
121,658,9188,16578022,f,f
122,673,119506,14274345,f,f
123,676,960,6092662,f,f
124,681,768668,14203793,f,f
125,682,1605,7841602,f,f
126,683,251064,1672661,f,f
127,684,61869,14263637,f,f
128,698,700759,14611203,f,f
129,705,4821,782329,f,f
130,708,108573,14080936,f,f
131,714,12511,756872,f,f
132,720,7143,14275309,f,f
133,726,386718,14876277,f,f
134,727,1084729,2782222724,f,f
135,729,83218,14184214,f,f
136,735,159571,13831932,f,f
137,737,4069452,7237172,f,f
138,739,45620,15694261,f,f
139,745,509,8380052,f,f
140,748,292595,15469446,f,f
141,751,46990,9686352,f,f
142,755,161109,20677851,f,f
143,756,1970732,7210822,f,f
144,769,180990,14089497,f,f
145,775,578863,5142861,f,f
146,792,11351,15773170,f,f
147,797,12991,8559682,f,f
148,806,3341552,14848489,f,f
149,812,7975,2026521,f,f
150,816,240072,26373232,f,f
151,820,506831,14720433,f,f
152,821,421813,12234962,f,f
153,823,4804,13724812,f,f
154,830,68400,14832802,f,f
155,831,133032,15399680,f,f
156,836,4229,9463402,f,f
157,841,1256211,18424332,f,f
158,842,81102,17208659,f,f
159,884,9211,11802112,f,f
160,891,1693688,7202792,f,f
161,893,17221,14059864,f,f
162,913,206606,14803874,f,f
163,914,158901,18046664,f,f
164,920,4704411,52768480,f,f
165,946,216386,5532312,f,f
166,947,85681,15991999,f,f
167,953,872825,14458999,f,f
168,967,380472,151394757,f,f
169,974,120131,60853,f,f
170,976,188041,18975451,f,f
171,986,4758079,21232122,f,f
172,995,43349,75553,f,f
173,1003,1848926,1506851,f,f
174,1013,2487710,13254832,f,f
175,1016,185817,200509980,f,f
176,1027,538519,206304395,f,f
177,1030,43231,14742912,f,f
178,1034,649181,19346988,f,f
179,1035,286333,756999,f,f
180,1050,551047,14273386,f,f
181,1055,36793,6578032,f,f
182,1059,99243,14773309,f,f
183,1060,35864,18973482,f,f
184,1063,20201,3576561,f,f
185,1067,113305,5692622,f,f
186,1072,763913,218499151,f,f
187,1074,5676,10999342,f,f
188,1081,15665,1047081,f,f
189,1107,152037,15169366,f,f
190,1116,101177,14993332,f,f
191,1123,265785,13816362,f,f
192,1124,169993,45653,f,f
193,1131,3951959,16875856,f,f
194,1156,407005,11369392,f,f
195,1158,49793,2216581,f,f
196,1168,440742,10281152,f,f
197,1173,281429,14198590,f,f
198,1174,5447,757042,f,f
199,1175,22244,19714637,f,f
200,1177,203552,15532587,f,f
201,1182,1126790,90130954,f,f
202,1199,3275797,14181635,f,f
203,1200,204257,6370092,f,f
204,1214,51260,15841638,f,f
205,1220,130838,9865662,f,f
206,1227,419859,20596403,f,f
207,1233,4006985,14187783,f,f
208,1238,1348,1692361,f,f
209,1248,61351,20272638,f,f
210,1265,838250,15191606,f,f
211,1278,576343,11051532,f,f
212,1282,1576,6532552,f,f
213,1284,333598,10818142,f,f
214,1291,73724,8877062,f,f
215,1292,595839,786251,f,f
216,1294,181642,688873,f,f
217,1296,227957,12232972,f,f
218,1297,186470,17431516,f,f
219,1310,703980,14887869,f,f
220,1321,651287,17011692,f,f
221,1328,2758724,516161532,f,f
222,1335,108202,17916175,f,f
223,1346,1279263,18078491,f,f
224,1384,101756,7878102,f,f
225,1390,133998,7566162,f,f
226,1405,212820,14187230,f,f
227,1409,104506,50828534,f,f
228,1421,297839,1622529463,f,f
229,1428,245328,15244166,f,f
230,1452,5131,10074432,f,f
231,1454,1030142,6030652,f,f
232,1464,441989,14764840,f,f
233,1466,4460555,128665864,f,f
234,1467,372606,173220368,f,f
235,1472,19693,6043562,f,f
236,1474,55819,14167328,f,f
237,1486,1368935,14230373,f,f
238,1492,689327,13941522,f,f
239,1527,5445391,6174172,f,f
240,1535,668433,1948361,f,f
241,1542,505752,14396011,f,f
242,1546,33967,11800842,f,f
243,1549,220773,64723,f,f
244,1551,126194,12895072,f,f
245,1554,16944,988341,f,f
246,1574,543248,14210167,f,f
247,1578,376195,247474686,f,f
248,1585,464152,43711345,f,f
249,1603,147769,11644692,f,f
250,1606,436508,29421853,f,f
251,1610,23306,1647827510,f,f
252,1620,724665,13199152,f,f
253,1621,113401,2519424541,f,f
254,1627,106127,14877833,f,f
255,1631,867895,190912448,f,f
256,1665,7735,14030192,f,f
257,1666,583851,148841857,f,f
258,1679,2605589,39603467,f,f
259,1681,11385,14375381,f,f
260,1701,97866,15857721,f,f
261,1704,641497,45078663,f,f
262,1738,1143874,17645971,f,f
263,1740,26854,27594071,f,f
264,1747,592952,9673282,f,f
265,1750,54594,15860369,f,f
266,1755,189547,7771122,f,f
267,1763,1153287,14181518,f,f
268,1775,312141,29097106,f,f
269,1788,181433,14417004,f,f
270,1796,286000,20759477,f,f
271,1797,1327,10749432,f,f
272,1801,93995,38426909,f,f
273,1809,789242,150567036,f,f
274,1811,488119,2862964814,f,f
275,1821,763780,14275971,f,f
276,1823,1099,1306591,f,f
277,1838,1383720,15809914,f,f
278,1848,43041,9948652,f,f
279,1868,5226,261529768,f,f
280,1877,5521,14206890,f,f
281,1888,1147467,12009252,f,f
282,1889,1325022,12886112,f,f
283,1891,164791,40676988,f,f
284,1904,52329,14097365,f,f
285,1911,12060,15534564,f,f
286,1912,296686,809066605,f,f
287,1925,955102,14237416,f,f
288,1934,381500,36245514,f,f
289,1944,176,14273725,f,f
290,1946,84087,28362127,f,f
291,1969,99513,15529343,f,f
292,1977,106626,7758132,f,f
293,1980,176476,1067521,f,f
294,1982,1434561,6537962,f,f
295,2007,130458,40723,f,f
296,2018,76032,5631082,f,f
297,2025,34284,14399435,f,f
298,2038,61151,14807054,f,f
299,2039,209355,1806031,f,f
300,2041,374863,295977984,f,f
301,2045,479650,287939768,f,f
302,2046,3324,14317205,f,f
303,2052,93726,9543122,f,f
304,2069,2704139,15239688,f,f
305,2084,205606,3598361,f,f
306,2086,275706,5806882,f,f
307,2089,148989,14811957,f,f
308,2092,4793533,272242439,f,f
309,2092,10342,272242439,t,f
310,2114,634063,14114456,f,f
311,2119,13085,10363252,f,f
312,2138,864788,15157003,f,f
313,2152,1502628,6309902,f,f
314,2154,1265959,51308957,f,f
315,2168,1300,10679952,f,f
316,2172,248200,135502561,f,f
317,2214,21796,19479640,f,f
318,2220,186642,18988331,f,f
319,2238,41018,20238452,f,f
320,2239,104339,45582503,f,f
321,2245,191545,14699366,f,f
322,2266,1875805,12018072,f,f
323,2274,1392411,11238422,f,f
324,2281,54459,8874562,f,f
325,2286,203,10403812,f,f
326,2288,887409,10062992,f,f
327,2294,34645,9523302,f,f
328,2300,131488,4514261,f,f
329,2305,170,9573202,f,f
330,2310,1960,65583,f,f
331,2313,222476,51596985,f,f
332,2354,14799,14026152,f,f
333,2368,142265,19767122,f,f
334,2385,854168,76505763,f,f
335,2425,55096,1547781,f,f
336,2429,437759,23427273,f,f
337,2447,43225,9650402,f,f
338,2448,308,672593,f,f
339,2453,54499,256705149,f,f
340,2457,112878,16079515,f,f
341,2463,73463,6320822,f,f
342,2472,863824,389746482,f,f
343,2474,524162,15242422,f,f
344,2476,8212,14872146,f,f
345,2481,48145,672453,f,f
346,2494,107061,1218971,f,f
347,2501,189571,14295064,f,f
348,2504,30749,14167210,f,f
349,2514,948978,25714561,f,f
350,2517,173087,6509682,f,f
351,2518,188,12973272,f,f
352,2555,619510,7766682,f,f
353,2575,21655,6306542,f,f
354,2576,62569,8827482,f,f
355,2582,171668,1828441,f,f
356,2585,79246,10608052,f,f
357,2590,23717,8866232,f,f
358,2595,1056454,14536496,f,f
359,2596,334487,14015462,f,f
360,2597,75655,14867499,f,f
361,2598,548829,20401220,f,f
362,2608,455924,111339132,f,f
363,2619,14128,756985,f,f
364,2627,272434,2456828557,f,f
365,2637,119848,14795118,f,f
366,2640,413038,11917152,f,f
367,2644,737789,14651481,f,f
368,2657,994691,6071972,f,f
369,2661,782758,32173,f,f
370,2662,59874,1675451,f,f
371,2663,1930886,17000986,f,f
372,2679,52934,18679427,f,f
373,2683,150536,55677993,f,f
374,2688,59507,16043664,f,f
375,2701,147411,16091517,f,f
376,2707,116850,14717652,f,f
377,2720,688915,14005122,f,f
378,2726,32249,14221724,f,f
379,2729,265656,15111249,f,f
380,2730,137777,14156277,f,f
381,2733,23887,8749632,f,f
382,2749,225406,14577725,f,f
383,2758,168667,14554389,f,f
384,2759,132490,14862215,f,f
385,2764,366092,3463061,f,f
386,2766,742941,22433,f,f
387,2794,288652,216827070,f,f
388,2797,7529,13164482,f,f
389,2799,442766,89668914,f,f
390,2813,6989521,8723542,f,f
391,2815,527171,82418752,f,f
392,2823,417745,16415931,f,f
393,2834,56324,20173077,f,f
394,2843,4483,617243,f,f
395,2847,4153912,14259503,f,f
396,2848,1100612,14184984,f,f
397,2867,71200,9124762,f,f
398,2876,171903,11374972,f,f
399,2880,1701516,29050854,f,f
400,2898,7935,3194001,f,f
401,2900,248196,14355151,f,f
402,2905,45433,15663219,f,f
403,2908,232593,14354179,f,f
404,2926,202751,815691,f,f
405,2933,1662,7138882,f,f
406,2935,1216,5654252,f,f
407,2942,126104,7206422,f,f
408,2947,127924,14251709,f,f
409,2951,5244809,10762962,f,f
410,2952,3216110,20452905,f,f
411,2954,17573,11563212,f,f
412,2961,172643,18196415,f,f
413,2962,4721,670313,f,f
414,2963,1995,14964491,f,f
415,2967,45759,3382271,f,f
416,2971,386371,327901106,f,f
417,2972,67565,5689062,f,f
418,2977,55179,14830390,f,f
419,2983,3678824,791,f,f
420,2984,213825,58457604,f,f
421,2990,1055976,5934552,f,f
422,2993,31563,8372122,f,f
423,2994,857842,143262085,f,f
424,2999,5719,3032241,f,f
425,3005,343134,8129692,f,f
426,3023,4710,10210102,f,f
427,3029,22282,5660222,f,f
428,3045,4304479,34263811,f,f
429,3047,632077,14236129,f,f
430,3052,31358,657613,f,f
431,3068,620343,14458440,f,f
432,3071,251725,125060392,f,f
433,3085,158937,2182791,f,f
434,3111,68374,8597112,f,f
435,3117,461578,140877094,f,f
436,3118,1782445,546822022,f,f
437,3129,48274,3178361,f,f
438,3140,1096993,588765008,f,f
439,3140,1096993,6322592,f,t
440,3153,831718,14862647,f,f
441,3182,198978,68640790,f,f
442,3189,169445,48389744,f,f
443,3205,95998,47677098,f,f
444,3207,61586,13475852,f,f
445,3218,56004,9634942,f,f
446,3226,112691,14365548,f,f
447,3230,999694,14517402,f,f
448,3231,352351,12506212,f,f
449,3238,94730,806140,f,f
450,3244,143809,20890063,f,f
451,3245,515492,9379462,f,f
452,3262,1929234,15693802,f,f
453,3279,1321,15391247,f,f
454,3280,11753,15406736,f,f
455,3284,130423,5991852,f,f
456,3295,180281,35840242,f,f
457,3308,281342,15595695,f,f
458,3312,130008,14687175,f,f
459,3344,44966,7767772,f,f
460,3347,102494,11165432,f,f
461,3349,361720,17226064,f,f
462,3381,59140,14133001,f,f
463,3395,6682,10644972,f,f
464,3407,56428,13928152,f,f
465,3410,4784,6328872,f,f
466,3412,18758,14846554,f,f
467,3418,553742,169518727,f,f
468,3433,90380,13077772,f,f
469,3435,732292,83948622,f,f
470,3439,36717,15267658,f,f
471,3447,179590,11648132,f,f
472,3461,2603494,173031712,f,f
473,3461,4126,64218381,t,f
474,3462,16794,5483362,f,f
475,3494,1840890,36751439,f,f
476,3506,203429,7565982,f,f
477,3509,4834860,17832372,f,f
478,3525,78970,18571222,f,f
479,3528,133028,17407102,f,f
480,3531,294968,145740728,f,f
481,3545,502295,17504891,f,f
482,3552,336975,8793592,f,f
483,3560,646128,14308375,f,f
484,3588,142092,55793,f,f
485,3594,123475,17205273,f,f
486,3605,65841,7781692,f,f
487,3608,471372,13877602,f,f
488,3612,110030,4093291,f,f
489,3619,217842,47008341,f,f
490,3632,5382215,1966907881,f,f
491,3654,1282980,58773429,f,f
492,3674,4866,3432601,f,f
493,3695,170356,15459953,f,f
494,3712,127652,896921,f,f
495,3713,9253,14735960,f,f
496,3717,520748,7239342,f,f
497,3737,55957,14564255,f,f
498,3751,567433,2893327674,f,f
499,3752,670146,18206765,f,f
500,3759,141133,14108355,f,f
501,3779,170687,49634979,f,f
502,3789,755,13020132,f,f
503,3798,325934,2793971,f,f
504,3815,9147,703973,f,f
505,3827,184683,162283,f,f
506,3829,4427,8946252,f,f
507,3838,60391,613563,f,f
508,3844,393108,14808672,f,f
509,3847,1784679,13404202,f,f
510,3855,21721,10162502,f,f
511,3858,42339,12731932,f,f
512,3859,1738,833751,f,f
513,3885,55869,14943648,f,f
514,3887,115822,18264536,f,f
515,3897,4416088,14165408,f,f
516,3909,58592,16649210,f,f
517,3913,29046,6300172,f,f
518,3914,89607,6547282,f,f
519,3916,792234,27239840,f,f
520,3937,534999,16100525,f,f
521,3947,24982,3852971,f,f
522,3948,2748,599751626,f,f
523,3951,118,33493,f,f
524,3962,33390,14285525,f,f
525,3963,63533,439543845,f,f
526,3972,15462,62703,f,f
527,3983,65708,15122973,f,f
528,3984,1084129,15100493,f,f
529,4003,1361124,12951972,f,f
530,4004,7669,1786651,f,f
531,4007,142515,22104535,f,f
532,4040,54107,6364372,f,f
533,4046,426549,15456578,f,f
534,4065,3558,19658134,f,f
535,4070,1401,59503,f,f
536,4082,81883,6999342,f,f
537,4094,1629,14182422,f,f
538,4098,64315,17650647,f,f
539,4106,367342,13446602,f,f
540,4111,89539,485940753,f,f
541,4115,1747236,14761329,f,f
542,4118,46231,77825515,f,f
543,4120,2974052,50789298,f,f
544,4120,461739,50789298,t,f
545,4140,110101,15524875,f,f
546,4160,150953,13726622,f,f
547,4169,25510,11385212,f,f
548,4189,128230,13524512,f,f
549,4194,932517,15246915,f,f
550,4195,169182,71678353,f,f
551,4196,15045,14501191,f,f
552,4210,754182,1583515788,f,f
553,4214,195036,1296381,f,f
554,4233,104415,14131937,f,f
555,4234,9928,2040631,f,f
556,4243,17042,31141896,f,f
557,4247,878942,14070634,f,f
558,4249,113840,137142212,f,f
559,4257,13951,16203093,f,f
560,4272,3104,11457022,f,f
561,4276,124557,8566562,f,f
562,4286,7681244,18684576,f,f
563,4300,4919,2696831,f,f
564,4307,62658,226413627,f,f
565,4320,7406273,8396772,f,f
566,4325,2480007,1435321,f,f
567,4329,1201644,9039602,f,f
568,4353,21238,32305023,f,f
569,4372,5724941,16580982,f,f
570,4376,338814,234859654,f,f
571,4396,2702222,19770825,f,f
572,4397,1673899,10492642,f,f
573,4398,216944,17932894,f,f
574,4407,178916,14176879,f,f
575,4417,37021,3495271,f,f
576,4425,5129597,1689421,f,f
577,4455,18434,72023,f,f
578,4468,47537,8269412,f,f
579,4480,864848,18998540,f,f
580,4481,86454,9453872,f,f
581,4482,44848,275110330,f,f
582,4497,161145,15847959,f,f
583,4507,187044,21673591,f,f
584,4512,524386,14349407,f,f
585,4534,765871,14742294,f,f
586,4541,77794,12521122,f,f
587,4552,3288956,6063472,f,f
588,4554,4132973,5658792,f,f
589,4558,54458,17231743,f,f
590,4563,204885,8305252,f,f
591,4570,43072,13564442,f,f
592,4582,159861,732953,f,f
593,4608,32455,11332782,f,f
594,4657,36123,19567986,f,f
595,4697,69286,774133,f,f
596,4724,61557,5878592,f,f
597,4727,50472,19714661,f,f
598,4733,4171713,18152204,f,f
599,4734,545452,20519413,f,f
600,4747,73690,5411962,f,f
601,4766,292637,385498225,f,f
602,4787,60786,4143281,f,f
603,4794,1639148,1406303912,f,f
604,4810,605154,16228866,f,f
605,4816,84423,14002972,f,f
606,4821,3850065,15381545,f,f
607,4830,8266,8900692,f,f
608,4835,223338,26313601,f,f
609,4838,2366410,16023362,f,f
610,4839,97905,11352102,f,f
611,4843,156155,15214291,f,f
612,4856,1590379,14737082,f,f
613,4869,42988,5856962,f,f
614,4900,279746,18238849,f,f
615,4907,528117,13519682,f,f
616,4913,44372,14253188,f,f
617,4919,271933,2528969139,f,f
618,4927,680793,15908732,f,f
619,4936,28911,10331802,f,f
620,4937,2407,709433,f,f
621,4949,916385,11070082,f,f
622,4950,96642,8177932,f,f
623,4953,167747,358071688,f,f
624,4954,593384,10430202,f,f
625,4958,767530,5468462,f,f
626,4986,12070,8074842,f,f
627,4991,47458,14197511,f,f
628,4999,898339,14162443,f,f
629,5022,5727962,14713838,f,f
630,5035,136243,15299100,f,f
631,5047,72844,3622761,f,f
632,5055,619436,17994479,f,f
633,5062,45916,10258632,f,f
634,5076,236050,75666754,f,f
635,5077,1516328,20695264,f,f
636,5100,85433,41108358,f,f
637,5101,671795,17820175,f,f
638,5113,384637,209389908,f,f
639,5128,9627,13655672,f,f
640,5168,35861,14131246,f,f
641,5171,147396,20598662,f,f
642,5179,85214,15557653,f,f
643,5181,84227,229516456,f,f
644,5182,329397,14963429,f,f
645,5192,273426,14565072,f,f
646,5193,723789,16543422,f,f
647,5210,91827,14393851,f,f
648,5219,1307314,331251670,f,f
649,5221,124208,379983,f,f
650,5228,2759408,19126729,f,f
651,5229,5174179,14225791,f,f
652,5235,674284,14091952,f,f
653,5240,7085,38836513,f,f
654,5247,87612,13974962,f,f
655,5264,74407,17820175,f,f
656,5266,71236,5748162,f,f
657,5277,464946,630163,f,f
658,5286,526540,13992432,f,f
659,5304,54303,14179003,f,f
660,5307,38277,16040210,f,f
661,5319,11073,9237272,f,f
662,5324,4065031,91920942,f,f
663,5348,5074393,11401622,f,f
664,5349,187630,15722485,f,f
665,5351,104555,7707782,f,f
666,5353,122276,3074517269,f,f
667,5355,125011,8694172,f,f
668,5357,25677,14047990,f,f
669,5361,65995,19388022,f,f
670,5418,69651,11415842,f,f
671,5430,253212,23169970,f,f
672,5434,509830,18913524,f,f
673,5447,37481,771335,f,f
674,5453,466142,634231309,f,f
675,5458,332504,22580161,f,f
676,5462,826454,14204104,f,f
677,5462,246410,14204104,t,f
678,5465,1206175,7140222,f,f
679,5539,1933,14473961,f,f
680,5555,1292085,11959352,f,f
681,5556,102109,2751391,f,f
682,5562,32876,2730941,f,f
683,5570,20675,10886832,f,f
684,5581,41576,15007870,f,f
685,5587,587226,6061142,f,f
686,5597,1382586,15465798,f,f
687,5599,104187,14128141,f,f
688,5603,39431,8051552,f,f
689,5610,73157,521,f,f
690,5611,6188,880,f,f
691,5616,55391,18231239,f,f
692,5618,157579,14947762,f,f
693,5625,44252,818519,f,f
694,5627,730,57753,f,f
695,5643,107824,15408243,f,f
696,5645,135105,14953410,f,f
697,5648,4670588,16965437,f,f
698,5649,868589,10745682,f,f
699,5651,78791,14235878,f,f
700,5675,17740,4612141,f,f
701,5697,130681,1449661268,f,f
702,5703,352704,15920802,f,f
703,5715,54006,13532142,f,f
704,5716,13910,1237461,f,f
705,5720,118951,12494542,f,f
706,5721,8699,8007442,f,f
707,5731,14506,14367943,f,f
708,5738,228671,2139291,f,f
709,5742,46977,8673702,f,f
710,5744,93930,707303,f,f
711,5745,51925,6450282,f,f
712,5757,28401,6789242,f,f
713,5758,1286,5219021,f,f
714,5775,145429,20706017,f,f
715,5777,39090,15199827,f,f
716,5784,200172,57583,f,f
717,5809,993313,249063496,f,f
718,5821,661859,1388661,f,f
719,5834,135242,18974241,f,f
720,5836,473633,14118612,f,f
721,5845,5844916,836471,f,f
722,5868,130076,9130822,f,f
723,5869,1034086,14355425,f,f
724,5878,1006586,50725725,f,f
725,5885,202641,12927822,f,f
726,5897,194402,15378483,f,f
727,5901,170514,922951,f,f
728,5903,239219,8819052,f,f
729,5906,218474,690703,f,f
730,5918,810191,17927873,f,f
731,5946,59645,15967820,f,f
732,5958,44751,2063401,f,f
733,5965,29174,5353252,f,f
734,5968,205561,4391061,f,f
735,5978,23414,15699777,f,f
736,5991,164140,10121552,f,f
737,6009,308331,12669172,f,f
738,6037,540683,20703616,f,f
739,6056,61889,754731,f,f
740,6059,62628,12945152,f,f
741,6068,8425,16447856,f,f
742,6072,6988,641903,f,f
743,6073,3464,21803,f,f
744,6078,72846,16237121,f,f
745,6083,9599,12497,f,f
746,6085,1401918,15317739,f,f
747,6095,74455,14801075,f,f
748,6109,38874,3232811,f,f
749,6114,1025227,17923863,f,f
750,6117,10693,7205022,f,f
751,6144,1163989,48064052,f,f
752,6159,74665,6203682,f,f
753,6160,623372,8368492,f,f
754,6161,798132,16137526,f,f
755,6178,824571,35316366,f,f
756,6181,121837,14109752,f,f
757,6212,157782,1237461,f,f
758,6244,325502,526821820,f,f
759,6247,907033,59078325,f,f
760,6251,8215,66573,f,f
761,6260,288493,28515441,f,f
762,6262,956,7905972,f,f
763,6264,284934,15446348,f,f
764,6291,19878,15198974,f,f
765,6304,2488,74863,f,f
766,6308,1506,11536152,f,f
767,6323,489362,157503599,f,f
768,6329,16432,6950972,f,f
769,6349,2300,10089142,f,f
770,6359,595815,14570065,f,f
771,6363,8125,4129921,f,f
772,6366,116915,14454642,f,f
773,6369,81344,12430472,f,f
774,6380,2892,5676102,f,f
775,6385,106736,1215781,f,f
776,6400,54348,60622849,f,f
777,6408,110663,557394841,f,f
778,6409,19437,13874872,f,f
779,6413,289488,10528172,f,f
780,6421,48159,21563,f,f
781,6430,55146,14797915,f,f
782,6435,615811,17804430,f,f
783,6436,686,5186831,f,f
784,6444,58962,3374231,f,f
785,6449,7171,699263,f,f
786,6471,6186,57543,f,f
787,6488,72782,14847930,f,f
788,6504,137568,14649732,f,f
789,6509,49317,16680935,f,f
790,6512,183678,15341368,f,f
791,6524,1615,752673,f,f
792,6541,48946,6039252,f,f
793,6551,1687,14582359,f,f
794,6560,32968,15176981,f,f
795,6580,33614,14490866,f,f
796,6595,74080,8439592,f,f
797,6605,103561,11745972,f,f
798,6615,776876,22414301,f,f
799,6632,1296695,19015110,f,f
800,6637,18482,803473,f,f
801,6645,717734,9113342,f,f
802,6649,1126871,29423221,f,f
803,6651,132198,16884257,f,f
804,6662,17803,21920588,f,f
805,6678,116518,21752189,f,f
806,6681,170848,23567015,f,f
807,6682,20511,8957672,f,f
808,6697,75163,8532542,f,f
809,6705,165111,16480418,f,f
810,6714,8926,5380272,f,f
811,6716,63979,52352965,f,f
812,6722,351493,9538472,f,f
813,6728,97011,7739112,f,f
814,6739,395050,14727078,f,f
815,6742,2069517,1079625678,f,f
816,6755,10446,9162442,f,f
817,6762,1030482,7204832,f,f
818,6799,348087,19362297,f,f
819,6805,17848,15854626,f,f
820,6814,138745,40443,f,f
821,6819,447694,171268338,f,f
822,6834,160216,13088772,f,f
823,6855,118161,1327871,f,f
824,6872,60723,2336479085,f,f
825,6886,80254,7676052,f,f
826,6902,46128,6836402,f,f
827,6906,40185,89017838,f,f
828,6937,4442,638003,f,f
829,6951,1949060,17870810,f,f
830,6958,11701,1193257076,f,f
831,6958,11701,7748812,f,t
832,6962,216,14208392,f,f
833,6967,574,10423102,f,f
834,6980,1009589,135986645,f,f
835,7001,68394,5663042,f,f
836,7011,292014,1949301,f,f
837,7018,56701,755700,f,f
838,7024,350919,14306641,f,f
839,7028,750257,13243282,f,f
840,7055,642254,14742189,f,f
841,7069,10040,14362522,f,f
842,7082,350051,8085952,f,f
843,7097,1364443,20976805,f,f
844,7111,417878,11400792,f,f
845,7122,196899,14077318,f,f
846,7129,498,24683349,f,f
847,7135,2104050,92616612,f,f
848,7143,407319,18678363,f,f
849,7154,56083,7564942,f,f
850,7186,1149698,11752902,f,f
851,7198,7547,15032095,f,f
852,7223,110999,11267212,f,f
853,7231,24642,14753,f,f
854,7237,58244,14212405,f,f
855,7277,1420884,46386294,f,f
856,7285,668760,57425501,f,f
857,7288,58760,17473931,f,f
858,7290,545542,91637340,f,f
859,7296,3225,5978772,f,f
860,7329,108001,5740542,f,f
861,7341,17936,765548,f,f
862,7407,39003,14076830,f,f
863,7434,534,46783,f,f
864,7446,1168306,38227644,f,f
865,7453,2723505,18163872,f,f
866,7483,66215,14834982,f,f
867,7492,116172,41817558,f,f
868,7496,47539,14103793,f,f
869,7503,88076,9737262,f,f
870,7518,74,3097177007,f,f
871,7531,798916,140032745,f,f
872,7532,147668,17073863,f,f
873,7542,94134,33664955,f,f
874,7549,217218,11467732,f,f
875,7556,97080,725953,f,f
876,7576,628952,15085681,f,f
877,7583,1940385,11679552,f,f
878,7586,150083,8804562,f,f
879,7589,62606,13874122,f,f
